time,agent,orderId,locX,locY,isPick
217,0,0,1,14,0
218,0,0,1,13,0
219,0,0,1,12,0
220,0,0,1,11,0
221,0,0,1,10,0
222,0,0,1,9,0
223,0,0,1,8,0
224,0,0,1,7,0
225,0,0,1,6,0
226,0,0,1,5,0
227,0,0,1,4,0
228,0,0,1,3,0
229,0,0,2,3,0
230,0,1,3,3,0
231,0,1,2,3,0
232,0,1,1,3,0
233,0,1,1,4,0
234,0,1,1,5,0
235,0,1,1,6,0
236,0,1,1,7,0
237,0,1,1,8,0
238,0,1,1,9,0
239,0,1,1,10,0
240,0,1,1,11,0
241,0,1,1,12,0
242,0,1,1,13,0
243,0,1,1,14,0
244,0,1,1,15,0
245,0,1,1,16,0
246,0,1,1,17,0
247,0,1,1,18,0
248,0,1,1,19,0
249,0,1,1,20,0
250,0,1,1,21,0
251,0,1,1,22,0
252,0,1,1,23,0
253,0,1,1,24,0
254,0,1,1,25,0
255,0,1,2,25,0
256,0,1,3,25,0
257,0,1,4,25,0
258,0,1,4,26,0
320,0,1,4,25,0
321,0,1,4,24,0
322,0,1,4,23,0
323,0,1,4,22,0
324,0,1,4,21,0
325,0,1,4,20,0
326,0,1,4,19,0
327,0,1,4,18,0
328,0,1,4,17,0
329,0,1,4,16,1
597,0,1,4,16,0
598,0,1,4,17,0
599,0,1,4,18,0
600,0,1,4,19,0
601,0,1,4,20,0
602,0,1,4,21,0
603,0,1,4,22,0
604,0,1,4,23,0
605,0,1,4,24,0
606,0,1,4,25,0
607,0,1,3,25,0
608,0,1,2,25,0
609,0,1,1,25,0
610,0,1,1,24,0
611,0,1,1,23,0
612,0,1,1,22,0
613,0,1,1,21,0
614,0,1,1,20,0
615,0,1,1,19,0
616,0,1,1,18,0
617,0,1,1,17,0
618,0,1,1,16,0
619,0,1,1,15,0
620,0,1,1,14,0
621,0,1,1,13,0
622,0,1,1,12,0
623,0,1,1,11,0
624,0,1,1,10,0
625,0,1,1,9,0
626,0,1,1,8,0
627,0,1,1,7,0
628,0,1,1,6,0
629,0,1,1,5,0
630,0,1,1,4,0
631,0,1,1,3,0
632,0,1,2,3,0
633,0,2,3,3,0
634,0,2,2,3,0
635,0,2,1,3,0
636,0,2,1,4,0
637,0,2,1,5,0
638,0,2,1,6,0
639,0,2,1,7,0
640,0,2,1,8,0
641,0,2,1,9,0
642,0,2,1,10,0
643,0,2,1,11,0
644,0,2,1,12,0
645,0,2,1,13,0
646,0,2,1,14,0
647,0,2,1,15,0
648,0,2,1,16,0
649,0,2,1,17,0
650,0,2,1,18,0
651,0,2,1,19,0
652,0,2,1,20,0
653,0,2,1,21,0
654,0,2,1,22,0
655,0,2,1,23,0
656,0,2,1,24,0
657,0,2,1,25,0
658,0,2,2,25,0
659,0,2,3,25,0
660,0,2,4,25,0
661,0,2,4,26,0
662,0,2,5,26,0
663,0,2,6,26,0
664,0,2,6,25,0
665,0,2,7,25,0
666,0,2,8,25,0
667,0,2,9,25,0
676,0,2,10,25,0
677,0,2,10,24,0
678,0,2,10,23,0
679,0,2,10,22,0
680,0,2,10,21,0
681,0,2,10,20,1
809,0,2,10,20,0
810,0,2,10,21,0
811,0,2,10,22,0
812,0,2,10,23,0
813,0,2,10,24,0
814,0,2,10,25,0
815,0,2,9,25,0
816,0,2,8,25,0
817,0,2,7,25,0
818,0,2,6,25,0
819,0,2,5,25,0
820,0,2,4,25,0
821,0,2,3,25,0
822,0,2,2,25,0
823,0,2,1,25,0
824,0,2,1,24,0
825,0,2,1,23,0
826,0,2,1,22,0
827,0,2,1,21,0
828,0,2,1,20,0
829,0,2,1,19,0
830,0,2,1,18,0
831,0,2,1,17,0
832,0,2,1,16,0
833,0,2,1,15,0
834,0,2,1,14,0
835,0,2,1,13,0
836,0,2,1,12,0
837,0,2,1,11,0
838,0,2,1,10,0
839,0,2,1,9,0
840,0,2,1,8,0
841,0,2,1,7,0
842,0,2,1,6,0
843,0,2,1,5,0
844,0,2,1,4,0
845,0,2,1,3,0
846,0,2,2,3,0
847,0,3,3,3,0
848,0,3,4,3,0
849,0,3,5,3,0
850,0,3,6,3,0
851,0,3,7,3,0
852,0,3,8,3,0
853,0,3,9,3,0
854,0,3,10,3,0
855,0,3,11,3,0
856,0,3,12,3,0
857,0,3,13,3,0
858,0,3,14,3,0
859,0,3,15,3,0
860,0,3,16,3,0
861,0,3,17,3,0
862,0,3,17,4,0
863,0,3,17,5,0
864,0,3,17,6,0
865,0,3,17,7,0
866,0,3,17,8,0
867,0,3,17,9,0
868,0,3,17,10,0
869,0,3,17,11,0
870,0,3,17,12,0
871,0,3,17,13,0
872,0,3,17,14,0
873,0,3,16,14,0
874,0,3,16,15,0
875,0,3,16,16,0
876,0,3,16,17,0
877,0,3,16,18,0
878,0,3,16,19,0
879,0,3,16,20,0
880,0,3,16,21,0
881,0,3,16,22,0
882,0,3,16,23,0
883,0,3,16,24,0
884,0,3,16,25,0
885,0,3,15,25,0
886,0,3,14,25,0
887,0,3,13,25,0
888,0,3,12,25,0
889,0,3,11,25,0
890,0,3,10,25,0
891,0,3,9,25,0
892,0,3,8,25,0
893,0,3,7,25,0
894,0,3,6,25,0
895,0,3,6,26,0
896,0,3,5,26,0
901,0,3,4,26,0
903,0,3,4,25,0
904,0,3,4,24,0
905,0,3,4,23,0
906,0,3,4,22,0
907,0,3,4,21,1
1031,0,3,4,21,0
1032,0,3,4,22,0
1033,0,3,4,23,0
1034,0,3,4,24,0
1035,0,3,4,25,0
1036,0,3,5,25,0
1037,0,3,6,25,0
1038,0,3,7,25,0
1039,0,3,8,25,0
1040,0,3,9,25,0
1041,0,3,10,25,0
1042,0,3,11,25,0
1043,0,3,12,25,0
1044,0,3,13,25,0
1045,0,3,14,25,0
1046,0,3,15,25,0
1047,0,3,16,25,0
1048,0,3,16,24,0
1049,0,3,16,23,0
1050,0,3,16,22,0
1051,0,3,16,21,0
1052,0,3,16,20,0
1053,0,3,16,19,0
1054,0,3,16,18,0
1055,0,3,16,17,0
1056,0,3,16,16,0
1057,0,3,16,15,0
1058,0,3,16,14,0
1059,0,3,16,13,0
1060,0,3,16,12,0
1061,0,3,16,11,0
1062,0,3,16,10,0
1063,0,3,16,9,0
1064,0,3,16,8,0
1065,0,3,16,7,0
1066,0,3,16,6,0
1067,0,3,16,5,0
1068,0,3,17,5,0
1069,0,3,17,4,0
1070,0,3,17,3,0
1071,0,3,16,3,0
1072,0,3,15,3,0
1073,0,3,14,3,0
1074,0,3,13,3,0
1075,0,3,12,3,0
1076,0,3,11,3,0
1077,0,3,10,3,0
1078,0,3,9,3,0
1079,0,3,8,3,0
1080,0,3,7,3,0
1081,0,3,6,3,0
1082,0,3,5,3,0
1083,0,3,4,3,0
1084,0,4,3,3,0
1085,0,4,4,3,0
1086,0,4,5,3,0
1087,0,4,6,3,0
1088,0,4,7,3,0
1089,0,4,8,3,0
1090,0,4,9,3,0
1091,0,4,10,3,0
1092,0,4,11,3,0
1093,0,4,12,3,0
1094,0,4,13,3,0
1095,0,4,14,3,0
1096,0,4,14,2,0
1097,0,4,14,3,0
1098,0,4,15,3,0
1099,0,4,16,3,0
1100,0,4,17,3,0
1101,0,4,17,4,0
1102,0,4,17,5,0
1103,0,4,16,5,0
1104,0,4,16,6,0
1105,0,4,16,7,0
1106,0,4,16,8,0
1107,0,4,16,9,0
1108,0,4,16,10,0
1109,0,4,16,11,0
1110,0,4,16,12,0
1111,0,4,16,13,0
1112,0,4,16,14,0
1113,0,4,16,15,0
1114,0,4,16,16,0
1115,0,4,16,17,0
1116,0,4,16,18,0
1117,0,4,16,19,0
1118,0,4,16,20,0
1119,0,4,16,21,0
1120,0,4,16,22,0
1121,0,4,16,23,0
1122,0,4,16,24,0
1123,0,4,16,25,0
1124,0,4,15,25,0
1125,0,4,14,25,0
1126,0,4,13,25,0
1127,0,4,12,25,0
1128,0,4,11,25,0
1129,0,4,10,25,0
1130,0,4,9,25,0
1131,0,4,8,25,0
1132,0,4,7,25,0
1133,0,4,6,25,0
1134,0,4,5,25,0
1135,0,4,5,26,0
1148,0,4,5,25,0
1149,0,4,4,25,0
1150,0,4,4,26,0
1201,0,4,4,25,0
1202,0,4,4,24,1
1326,0,4,4,24,0
1327,0,4,4,25,0
1328,0,4,5,25,0
1329,0,4,6,25,0
1330,0,4,7,25,0
1331,0,4,8,25,0
1332,0,4,9,25,0
1333,0,4,10,25,0
1334,0,4,11,25,0
1335,0,4,12,25,0
1336,0,4,13,25,0
1337,0,4,14,25,0
1338,0,4,15,25,0
1339,0,4,16,25,0
1340,0,4,16,24,0
1341,0,4,16,23,0
1342,0,4,16,22,0
1343,0,4,16,21,0
1344,0,4,16,20,0
1345,0,4,16,19,0
1346,0,4,16,18,0
1347,0,4,16,17,0
1348,0,4,16,16,0
1349,0,4,16,15,0
1350,0,4,16,14,0
1351,0,4,16,13,0
1352,0,4,16,12,0
1353,0,4,16,11,0
1354,0,4,16,10,0
1355,0,4,16,9,0
1356,0,4,16,8,0
1357,0,4,16,7,0
1358,0,4,16,6,0
1359,0,4,16,5,0
1360,0,4,17,5,0
1361,0,4,17,4,0
1362,0,4,17,3,0
1363,0,4,16,3,0
1364,0,4,15,3,0
1365,0,4,14,3,0
1366,0,4,13,3,0
1367,0,4,12,3,0
1368,0,4,11,3,0
1369,0,4,10,3,0
1370,0,4,9,3,0
1371,0,4,8,3,0
1372,0,4,7,3,0
1373,0,4,6,3,0
1374,0,4,5,3,0
1375,0,4,4,3,0
1376,0,5,3,3,0
1377,0,5,4,3,0
1378,0,5,5,3,0
1379,0,5,6,3,0
1380,0,5,7,3,0
1381,0,5,8,3,0
1382,0,5,9,3,0
1383,0,5,10,3,0
1384,0,5,11,3,0
1385,0,5,12,3,0
1386,0,5,12,2,0
1387,0,5,12,3,0
1388,0,5,13,3,0
1389,0,5,14,3,0
1390,0,5,15,3,0
1391,0,5,16,3,0
1392,0,5,17,3,0
1393,0,5,17,4,0
1394,0,5,17,5,0
1395,0,5,17,6,0
1396,0,5,17,7,0
1397,0,5,17,8,0
1398,0,5,17,9,0
1399,0,5,17,10,0
1400,0,5,17,11,0
1401,0,5,17,12,0
1402,0,5,17,13,0
1403,0,5,17,14,0
1404,0,5,17,15,0
1405,0,5,17,16,0
1406,0,5,17,17,0
1407,0,5,17,18,0
1408,0,5,17,19,0
1409,0,5,17,20,0
1410,0,5,16,20,0
1411,0,5,16,21,0
1412,0,5,16,22,0
1413,0,5,16,23,0
1414,0,5,16,24,0
1415,0,5,16,25,0
1416,0,5,15,25,0
1417,0,5,14,25,0
1418,0,5,13,25,0
1419,0,5,13,26,0
1420,0,5,12,26,0
1421,0,5,11,26,0
1422,0,5,10,26,0
1423,0,5,9,26,0
1424,0,5,8,26,0
1425,0,5,7,26,0
1426,0,5,6,26,0
1427,0,5,5,26,0
1428,0,5,4,26,0
1492,0,5,4,25,0
1493,0,5,4,24,0
1494,0,5,4,23,0
1495,0,5,4,22,0
1496,0,5,4,21,0
1497,0,5,4,20,0
1498,0,5,4,19,0
1499,0,5,4,18,0
1500,0,5,4,17,0
1501,0,5,4,16,0
1502,0,5,4,15,0
1503,0,5,4,14,0
1504,0,5,4,13,0
1505,0,5,4,12,0
1506,0,5,4,11,0
1507,0,5,4,10,0
1508,0,5,4,9,0
1509,0,5,4,8,0
1510,0,5,4,7,0
1511,0,5,4,6,0
1512,0,5,4,5,0
2242,0,5,4,6,0
2243,0,5,4,7,0
2244,0,5,4,8,0
2245,0,5,4,9,0
2246,0,5,4,10,0
2247,0,5,4,11,0
2248,0,5,4,12,0
2249,0,5,4,13,0
2250,0,5,4,14,1
2518,0,5,4,14,0
2519,0,5,4,15,0
2520,0,5,4,16,0
2521,0,5,4,17,0
2522,0,5,4,18,0
2523,0,5,4,19,0
2524,0,5,4,20,0
2525,0,5,4,21,0
2526,0,5,4,22,0
2527,0,5,4,23,0
2528,0,5,4,24,0
2529,0,5,4,25,0
2530,0,5,3,25,0
2531,0,5,2,25,0
2532,0,5,1,25,0
2533,0,5,1,24,0
2534,0,5,1,23,0
2535,0,5,1,22,0
2536,0,5,1,21,0
2537,0,5,1,20,0
2538,0,5,1,19,0
2539,0,5,1,18,0
2540,0,5,1,17,0
2541,0,5,1,16,0
2542,0,5,1,15,0
2543,0,5,1,14,0
2544,0,5,1,13,0
2545,0,5,1,12,0
2546,0,5,1,11,0
2547,0,5,1,10,0
2548,0,5,1,9,0
2549,0,5,1,8,0
2550,0,5,1,7,0
2551,0,5,1,6,0
2552,0,5,1,5,0
2553,0,5,1,4,0
2554,0,5,1,3,0
2555,0,5,2,3,0
2556,0,6,3,3,0
2557,0,6,4,3,0
2558,0,6,5,3,0
2559,0,6,6,3,0
2560,0,6,7,3,0
2561,0,6,8,3,0
2562,0,6,9,3,0
2563,0,6,10,3,0
2564,0,6,11,3,0
2565,0,6,12,3,0
2566,0,6,13,3,0
2567,0,6,14,3,0
2568,0,6,15,3,0
2569,0,6,16,3,0
2570,0,6,17,3,0
2571,0,6,17,4,0
2572,0,6,17,5,0
2573,0,6,17,6,0
2574,0,6,17,7,0
2575,0,6,17,8,0
2576,0,6,17,9,0
2577,0,6,17,10,0
2578,0,6,17,11,0
2579,0,6,17,12,0
2580,0,6,17,13,0
2581,0,6,17,14,0
2582,0,6,17,15,0
2583,0,6,17,16,0
2584,0,6,17,17,0
2585,0,6,17,18,0
2586,0,6,17,19,0
2587,0,6,17,20,0
2588,0,6,16,20,0
2589,0,6,16,21,0
2590,0,6,16,22,0
2591,0,6,16,23,0
2592,0,6,16,24,0
2593,0,6,16,25,0
2594,0,6,15,25,0
2595,0,6,14,25,0
2596,0,6,13,25,0
2597,0,6,12,25,0
2598,0,6,11,25,0
2599,0,6,10,25,0
2600,0,6,9,25,0
2601,0,6,8,25,0
2602,0,6,7,25,0
2603,0,6,6,25,0
2604,0,6,5,25,0
2605,0,6,5,26,0
2675,0,6,5,25,0
2819,0,6,4,25,0
2820,0,6,4,24,0
2821,0,6,4,23,0
2822,0,6,4,22,0
2823,0,6,4,21,0
2824,0,6,4,20,0
2825,0,6,4,19,0
2826,0,6,4,18,0
2827,0,6,4,17,0
2828,0,6,4,16,0
2829,0,6,4,15,0
2830,0,6,4,14,0
2831,0,6,4,13,0
2832,0,6,4,12,0
2833,0,6,4,11,0
2834,0,6,4,10,0
2835,0,6,4,9,0
2836,0,6,4,8,0
2837,0,6,4,7,1
3093,0,6,4,7,0
3094,0,6,4,8,0
3095,0,6,4,9,0
3096,0,6,4,10,0
3097,0,6,4,11,0
3098,0,6,4,12,0
3099,0,6,4,13,0
3100,0,6,4,14,0
3101,0,6,4,15,0
3102,0,6,4,16,0
3103,0,6,4,17,0
3104,0,6,4,18,0
3105,0,6,4,19,0
3106,0,6,4,20,0
3107,0,6,4,21,0
3108,0,6,4,22,0
3109,0,6,4,23,0
3110,0,6,4,24,0
3111,0,6,4,25,0
3112,0,6,3,25,0
3113,0,6,2,25,0
3114,0,6,1,25,0
3115,0,6,1,24,0
3116,0,6,1,23,0
3117,0,6,1,22,0
3118,0,6,1,21,0
3119,0,6,1,20,0
3120,0,6,1,19,0
3121,0,6,1,18,0
3122,0,6,1,17,0
3123,0,6,1,16,0
3124,0,6,1,15,0
3125,0,6,1,14,0
3126,0,6,1,13,0
3127,0,6,1,12,0
3128,0,6,1,11,0
3129,0,6,1,10,0
3130,0,6,1,9,0
3131,0,6,1,8,0
3132,0,6,1,7,0
3133,0,6,1,6,0
3134,0,6,1,5,0
3135,0,6,1,4,0
3136,0,6,1,3,0
3137,0,6,2,3,0
3138,0,7,3,3,0
3139,0,7,4,3,0
3140,0,7,5,3,0
3141,0,7,6,3,0
3142,0,7,7,3,0
3143,0,7,8,3,0
3144,0,7,9,3,0
3145,0,7,10,3,0
3146,0,7,11,3,0
3147,0,7,12,3,0
3148,0,7,13,3,0
3149,0,7,14,3,0
3150,0,7,15,3,0
3151,0,7,16,3,0
3152,0,7,17,3,0
3153,0,7,17,4,0
3154,0,7,17,5,0
3155,0,7,17,6,0
3156,0,7,17,7,0
3157,0,7,17,8,0
3158,0,7,17,9,0
3159,0,7,17,10,0
3160,0,7,17,11,0
3161,0,7,17,12,0
3162,0,7,17,13,0
3163,0,7,17,14,0
3164,0,7,17,15,0
3165,0,7,17,16,0
3166,0,7,17,17,0
3167,0,7,17,18,0
3295,0,7,16,18,1
3555,0,7,16,18,0
3556,0,7,16,17,0
3557,0,7,16,16,0
3558,0,7,16,15,0
3559,0,7,16,14,0
3560,0,7,16,13,0
3561,0,7,16,12,0
3562,0,7,16,11,0
3563,0,7,16,10,0
3564,0,7,16,9,0
3565,0,7,16,8,0
3566,0,7,16,7,0
3567,0,7,16,6,0
3568,0,7,16,5,0
3569,0,7,17,5,0
3570,0,7,17,4,0
3571,0,7,17,3,0
3572,0,7,16,3,0
3573,0,7,15,3,0
3574,0,7,14,3,0
3575,0,7,13,3,0
3576,0,7,12,3,0
3577,0,7,11,3,0
3578,0,7,10,3,0
3579,0,7,9,3,0
3580,0,7,8,3,0
3581,0,7,7,3,0
3582,0,7,6,3,0
3583,0,7,5,3,0
3584,0,7,4,3,0
3585,0,8,3,3,0
3586,0,8,4,3,0
3587,0,8,5,3,0
3588,0,8,6,3,0
3589,0,8,7,3,0
3590,0,8,8,3,0
3591,0,8,9,3,0
3592,0,8,10,3,0
3593,0,8,11,3,0
3594,0,8,12,3,0
3595,0,8,13,3,0
3596,0,8,14,3,0
3597,0,8,15,3,0
3598,0,8,16,3,0
3599,0,8,17,3,0
3600,0,8,17,4,0
3601,0,8,17,5,0
3602,0,8,16,5,0
3603,0,8,16,6,0
3604,0,8,16,7,0
3605,0,8,16,8,0
3606,0,8,16,9,0
3607,0,8,16,10,0
3608,0,8,16,11,0
3609,0,8,16,12,0
3610,0,8,16,13,0
3611,0,8,16,14,0
3612,0,8,16,15,0
3613,0,8,16,16,0
3614,0,8,16,17,0
3615,0,8,16,18,0
3616,0,8,16,19,0
3617,0,8,16,20,0
3618,0,8,16,21,0
3619,0,8,16,22,0
3620,0,8,16,23,0
3621,0,8,16,24,0
3622,0,8,16,25,0
3623,0,8,15,25,0
3624,0,8,14,25,0
3625,0,8,13,25,0
3626,0,8,12,25,0
3627,0,8,11,25,0
3628,0,8,10,25,0
3629,0,8,9,25,0
3630,0,8,8,25,0
3747,0,8,7,25,0
3748,0,8,7,24,0
3749,0,8,7,23,0
3750,0,8,7,22,0
3751,0,8,7,21,0
3752,0,8,7,20,0
3753,0,8,7,19,0
3754,0,8,7,18,0
3755,0,8,7,17,0
3756,0,8,7,16,0
3757,0,8,7,15,0
3758,0,8,7,14,0
3759,0,8,7,13,0
3760,0,8,7,12,0
3761,0,8,7,11,0
3762,0,8,7,10,0
3763,0,8,7,9,0
3764,0,8,7,8,0
3765,0,8,7,7,0
3766,0,8,7,6,0
3767,0,8,7,5,1
3891,0,8,7,5,0
3892,0,8,7,6,0
3893,0,8,7,7,0
3894,0,8,7,8,0
3895,0,8,7,9,0
3896,0,8,7,10,0
3897,0,8,7,11,0
3898,0,8,7,12,0
3899,0,8,7,13,0
3900,0,8,7,14,0
3901,0,8,7,15,0
3902,0,8,7,16,0
3903,0,8,7,17,0
3904,0,8,7,18,0
3905,0,8,7,19,0
3906,0,8,7,20,0
3907,0,8,7,21,0
3908,0,8,7,22,0
3909,0,8,7,23,0
3910,0,8,7,24,0
3911,0,8,7,25,0
3912,0,8,8,25,0
3913,0,8,9,25,0
3914,0,8,10,25,0
3915,0,8,11,25,0
3916,0,8,12,25,0
3917,0,8,13,25,0
3918,0,8,14,25,0
3919,0,8,15,25,0
3920,0,8,16,25,0
3921,0,8,16,24,0
3922,0,8,16,23,0
3923,0,8,16,22,0
3924,0,8,16,21,0
3925,0,8,16,20,0
3926,0,8,16,19,0
3927,0,8,16,18,0
3928,0,8,16,17,0
3929,0,8,16,16,0
3930,0,8,16,15,0
3931,0,8,16,14,0
3932,0,8,16,13,0
3933,0,8,16,12,0
3934,0,8,16,11,0
3935,0,8,16,10,0
3936,0,8,16,9,0
3937,0,8,16,8,0
3938,0,8,16,7,0
3939,0,8,16,6,0
3940,0,8,16,5,0
3941,0,8,17,5,0
3942,0,8,17,4,0
3943,0,8,17,3,0
3944,0,8,16,3,0
3945,0,8,15,3,0
3946,0,8,14,3,0
3947,0,8,13,3,0
3948,0,8,12,3,0
3949,0,8,11,3,0
3950,0,8,10,3,0
3951,0,8,9,3,0
3952,0,8,8,3,0
3953,0,8,7,3,0
3954,0,8,6,3,0
3955,0,8,5,3,0
3956,0,8,4,3,0
3957,0,9,3,3,0
3958,0,9,4,3,0
3959,0,9,5,3,0
3960,0,9,6,3,0
3961,0,9,7,3,0
3962,0,9,8,3,0
3963,0,9,9,3,0
3964,0,9,10,3,0
3965,0,9,11,3,0
3966,0,9,12,3,0
3967,0,9,13,3,0
3968,0,9,14,3,0
3969,0,9,15,3,0
3970,0,9,16,3,0
3971,0,9,17,3,0
3972,0,9,17,4,0
3973,0,9,17,5,0
3974,0,9,17,6,0
3975,0,9,16,6,0
3976,0,9,16,7,0
3977,0,9,16,8,0
3978,0,9,16,9,0
3979,0,9,16,10,0
3980,0,9,16,11,0
3981,0,9,16,12,0
3982,0,9,16,13,0
3983,0,9,16,14,0
3984,0,9,16,15,0
3985,0,9,16,16,0
3986,0,9,16,17,0
3987,0,9,16,18,0
3988,0,9,16,19,0
3989,0,9,16,20,0
3990,0,9,16,21,0
3991,0,9,16,22,0
3992,0,9,16,23,0
3993,0,9,16,24,0
3994,0,9,16,25,0
3995,0,9,15,25,0
3996,0,9,14,25,0
3997,0,9,13,25,0
3998,0,9,12,25,0
3999,0,9,11,25,0
4000,0,9,10,25,0
4001,0,9,9,25,0
4002,0,9,8,25,0
4003,0,9,7,25,0
4004,0,9,6,25,0
4005,0,9,5,25,0
4006,0,9,4,25,0
4007,0,9,4,26,0
4008,0,9,4,27,0
4009,0,9,3,27,0
4010,0,9,2,27,0
4011,0,9,1,27,0
4364,0,9,1,26,0
4366,0,9,1,25,0
4367,0,9,1,24,0
4368,0,9,1,23,0
4369,0,9,1,22,1
4629,0,9,1,22,0
4630,0,9,1,21,0
4631,0,9,1,20,0
4632,0,9,1,19,0
4633,0,9,1,18,0
4634,0,9,1,17,0
4635,0,9,1,16,0
4636,0,9,1,15,0
4637,0,9,1,14,0
4638,0,9,1,13,0
4639,0,9,1,12,0
4640,0,9,1,11,0
4641,0,9,1,10,0
4642,0,9,1,9,0
4643,0,9,1,8,0
4644,0,9,1,7,0
4661,0,9,1,6,0
4662,0,9,1,5,0
4663,0,9,1,4,0
4664,0,9,1,3,0
4665,0,9,2,3,0
4666,0,10,3,3,0
4667,0,10,4,3,0
4668,0,10,5,3,0
4669,0,10,6,3,0
4670,0,10,7,3,0
4671,0,10,8,3,0
4672,0,10,9,3,0
4673,0,10,10,3,0
4674,0,10,11,3,0
4675,0,10,12,3,0
4676,0,10,13,3,0
4677,0,10,14,3,0
4678,0,10,15,3,0
4679,0,10,16,3,0
4680,0,10,16,2,0
4681,0,10,16,3,0
4682,0,10,17,3,0
4683,0,10,17,4,0
4684,0,10,17,5,0
4685,0,10,16,5,0
4686,0,10,16,6,0
4687,0,10,16,7,0
4688,0,10,16,8,0
4689,0,10,16,9,0
4690,0,10,16,10,0
4691,0,10,16,11,0
4692,0,10,16,12,0
4693,0,10,16,13,0
4694,0,10,16,14,0
4695,0,10,16,15,0
4696,0,10,16,16,0
4697,0,10,16,17,0
4698,0,10,16,18,0
4699,0,10,16,19,0
4700,0,10,16,20,0
4701,0,10,16,21,0
4702,0,10,16,22,0
4703,0,10,16,23,0
4704,0,10,16,24,0
4705,0,10,16,25,0
4706,0,10,15,25,0
4707,0,10,14,25,0
4708,0,10,13,25,0
4709,0,10,12,25,0
4710,0,10,11,25,0
4711,0,10,10,25,0
4712,0,10,9,25,0
4713,0,10,8,25,0
4714,0,10,7,25,0
4715,0,10,7,24,0
4716,0,10,7,23,0
4717,0,10,7,22,0
4718,0,10,7,21,0
4719,0,10,7,20,0
4720,0,10,7,19,1
4996,0,10,7,19,0
4997,0,10,7,20,0
4998,0,10,7,21,0
4999,0,10,7,22,0
5000,0,10,7,23,0
5001,0,10,7,24,0
5002,0,10,7,25,0
5003,0,10,8,25,0
5004,0,10,9,25,0
5005,0,10,10,25,0
5006,0,10,11,25,0
5007,0,10,12,25,0
5008,0,10,13,25,0
5009,0,10,14,25,0
5010,0,10,15,25,0
5011,0,10,16,25,0
5012,0,10,16,24,0
5013,0,10,16,23,0
5014,0,10,16,22,0
5015,0,10,16,21,0
5016,0,10,16,20,0
5017,0,10,16,19,0
5018,0,10,16,18,0
5019,0,10,16,17,0
5020,0,10,16,16,0
5021,0,10,16,15,0
5022,0,10,16,14,0
5023,0,10,16,13,0
5024,0,10,16,12,0
5025,0,10,16,11,0
5026,0,10,16,10,0
5027,0,10,16,9,0
5028,0,10,16,8,0
5029,0,10,16,7,0
5030,0,10,16,6,0
5031,0,10,16,5,0
5032,0,10,17,5,0
5033,0,10,17,4,0
5034,0,10,17,3,0
5035,0,10,16,3,0
5036,0,10,15,3,0
5037,0,10,14,3,0
5038,0,10,13,3,0
5039,0,10,12,3,0
5040,0,10,11,3,0
5041,0,10,10,3,0
5042,0,10,9,3,0
5043,0,10,8,3,0
5044,0,10,7,3,0
5045,0,10,6,3,0
5046,0,10,5,3,0
5047,0,10,4,3,0
5048,0,11,3,3,0
5049,0,11,4,3,0
5050,0,11,5,3,0
5051,0,11,6,3,0
5052,0,11,7,3,0
5053,0,11,8,3,0
5054,0,11,9,3,0
